"accountant_id","service_id"
"1","1"
"1","2"
"1","3"
"1","4"
"4","5"
"4","1"
"4","3"
"4","6"
"4","4"
"4","7"
"5","5"
"5","1"
"5","8"
"5","9"
"5","3"
"5","10"
"5","6"
"5","11"
"5","4"
"5","12"
"5","13"
"5","7"
"12","14"
"12","5"
"12","15"
"12","9"
"12","16"
"12","17"
"12","18"
"12","19"
"12","20"
"12","21"
"12","22"
"12","2"
"12","10"
"12","6"
"12","11"
"12","4"
"12","12"
"16","10"
"16","6"
"16","11"
"28","1"
"28","3"
"28","4"
"28","7"
"32","5"
"32","1"
"32","3"
"32","10"
"32","4"
"32","7"
"35","3"
"35","4"
"35","7"
"37","15"
"37","1"
"37","17"
"37","23"
"37","3"
"37","10"
"37","11"
"37","4"
"38","3"
"38","4"
"38","12"
"38","13"
"38","7"
"38","24"
"53","4"
"57","25"
"57","5"
"57","15"
"57","26"
"57","1"
"57","8"
"57","3"
"57","10"
"57","6"
"57","11"
"57","4"
"57","7"
"58","5"
"58","1"
"58","8"
"58","18"
"58","2"
"58","10"
"58","6"
"58","11"
"58","4"
"58","7"
"59","1"
"59","8"
"59","3"
"59","6"
"59","4"
"59","12"
"59","13"
"59","7"
"62","3"
"62","4"
"62","13"
"62","7"
"63","1"
"63","3"
"63","4"
"63","7"
"73","5"
"73","1"
"73","8"
"73","11"
"73","4"
"73","13"
"73","7"
"74","4"
"76","5"
"76","1"
"76","2"
"76","3"
"76","10"
"76","4"
"76","13"
"76","7"
"77","25"
"77","27"
"77","28"
"77","29"
"78","5"
"78","1"
"78","8"
"78","23"
"78","3"
"78","10"
"78","6"
"78","11"
"78","4"
"79","1"
"79","8"
"79","30"
"79","20"
"79","3"
"79","4"
"79","13"
"79","7"
"79","24"
"80","5"
"80","8"
"80","3"
"80","6"
"80","4"
"80","13"
"80","7"
"81","1"
"81","8"
"81","23"
"81","3"
"81","10"
"81","6"
"81","11"
"81","4"
"81","7"
"87","5"
"87","1"
"87","8"
"87","31"
"87","32"
"87","2"
"87","3"
"87","10"
"87","6"
"87","11"
"87","4"
"87","7"
"92","5"
"92","1"
"92","8"
"92","3"
"92","10"
"92","6"
"92","11"
"92","4"
"92","7"
"95","3"
"95","4"
"95","7"
"104","5"
"104","1"
"104","3"
"104","10"
"104","6"
"104","4"
"109","3"
"109","4"
"109","7"
"111","3"
"112","5"
"112","1"
"112","8"
"112","3"
"112","10"
"112","6"
"112","4"
"112","13"
"112","7"
"116","1"
"116","3"
"116","4"
"116","7"
"118","3"
"118","4"
"118","7"
"119","5"
"119","1"
"119","8"
"119","18"
"119","2"
"119","3"
"119","10"
"119","6"
"119","11"
"119","4"
"119","13"
"119","7"
"121","25"
"121","5"
"121","1"
"121","8"
"121","3"
"121","10"
"121","6"
"121","4"
"121","12"
"121","28"
"121","13"
"121","7"
"121","33"
"121","24"
"122","5"
"122","1"
"122","8"
"122","18"
"122","32"
"122","2"
"122","3"
"122","6"
"122","4"
"122","13"
"122","7"
"123","5"
"123","3"
"123","10"
"123","6"
"123","4"
"123","13"
"123","7"
"125","5"
"125","1"
"125","8"
"125","3"
"125","10"
"125","4"
"125","7"
"127","5"
"127","1"
"127","8"
"127","18"
"127","22"
"127","32"
"127","2"
"127","3"
"127","10"
"127","6"
"127","11"
"127","4"
"127","13"
"127","7"
"129","5"
"129","26"
"129","1"
"129","8"
"129","9"
"129","17"
"129","34"
"129","31"
"129","32"
"129","2"
"129","3"
"129","10"
"129","6"
"129","11"
"129","4"
"129","12"
"129","13"
"129","7"
"129","33"
"129","24"
"139","5"
"139","15"
"139","1"
"139","8"
"139","20"
"139","32"
"139","23"
"139","3"
"139","10"
"139","6"
"139","11"
"139","4"
"139","13"
"139","7"
"144","3"
"144","10"
"144","4"
"144","7"
"146","3"
"146","6"
"146","4"
"146","13"
"147","11"
"147","7"
"149","25"
"149","5"
"149","34"
"149","3"
"149","10"
"149","11"
"149","4"
"149","28"
"149","13"
"149","7"
"151","5"
"151","1"
"151","18"
"151","32"
"151","23"
"151","3"
"151","10"
"151","6"
"151","11"
"151","4"
"151","13"
"151","7"
"153","5"
"153","15"
"153","1"
"153","17"
"153","10"
"153","6"
"153","11"
"153","4"
"155","8"
"155","3"
"155","4"
"155","7"
"156","5"
"156","15"
"156","26"
"156","17"
"156","2"
"156","3"
"156","10"
"156","6"
"156","11"
"156","4"
"162","22"
"162","3"
"162","10"
"162","6"
"162","11"
"162","4"
"162","13"
"162","7"
"175","5"
"175","15"
"175","1"
"175","17"
"175","3"
"175","10"
"175","4"
"175","7"
"178","1"
"178","3"
"178","10"
"178","6"
"178","11"
"178","4"
"178","13"
"178","7"
"179","5"
"179","1"
"179","18"
"179","2"
"179","3"
"179","4"
"179","7"
"190","1"
"190","20"
"190","3"
"190","6"
"191","18"
"191","4"
"192","5"
"192","15"
"192","1"
"192","8"
"192","9"
"192","18"
"192","34"
"192","3"
"192","10"
"192","6"
"192","11"
"192","4"
"192","13"
"192","7"
"195","5"
"195","1"
"195","3"
"195","10"
"195","6"
"195","4"
"195","7"
"204","5"
"204","3"
"204","10"
"204","4"
"205","1"
"205","8"
"205","3"
"205","10"
"205","6"
"205","4"
"205","13"
"205","7"
"206","5"
"206","15"
"206","26"
"206","3"
"206","6"
"206","4"
"206","13"
"206","7"
"207","14"
"207","5"
"207","1"
"207","8"
"207","17"
"207","3"
"207","10"
"207","6"
"207","11"
"207","4"
"207","7"
"210","8"
"210","2"
"210","3"
"210","4"
"210","13"
"210","7"
"212","8"
"212","18"
"212","2"
"212","3"
"212","6"
"212","4"
"212","13"
"212","7"
"213","1"
"213","3"
"213","10"
"213","6"
"213","4"
"215","4"
"215","7"
"219","15"
"219","1"
"219","8"
"219","9"
"219","17"
"219","18"
"219","3"
"219","10"
"219","6"
"219","4"
"219","13"
"219","7"
"230","5"
"230","1"
"230","8"
"230","18"
"230","3"
"230","10"
"230","6"
"230","11"
"230","4"
"230","13"
"230","7"
"231","20"
"231","3"
"231","6"
"231","12"
"231","13"
"231","7"
"244","25"
"244","26"
"244","1"
"244","8"
"244","3"
"244","10"
"244","6"
"244","11"
"244","4"
"244","13"
"244","7"
"249","15"
"249","1"
"249","3"
"249","10"
"249","6"
"249","11"
"250","5"
"250","1"
"250","8"
"250","3"
"250","10"
"250","6"
"250","11"
"250","4"
"250","13"
"250","7"
"260","1"
"260","8"
"260","18"
"260","21"
"260","2"
"260","3"
"260","10"
"260","6"
"260","4"
"260","12"
"260","13"
"260","7"
"264","5"
"264","15"
"264","26"
"264","1"
"264","8"
"264","2"
"264","23"
"264","3"
"264","10"
"264","6"
"264","11"
"264","4"
"264","7"
"267","7"
"270","5"
"270","1"
"270","8"
"270","9"
"270","22"
"270","3"
"270","10"
"270","6"
"270","11"
"270","4"
"270","13"
"270","7"
"275","5"
"275","15"
"275","1"
"275","8"
"275","9"
"275","17"
"275","3"
"275","10"
"275","6"
"275","11"
"275","4"
"275","28"
"275","13"
"275","7"
"277","3"
"277","10"
"277","4"
"277","7"
"282","25"
"282","5"
"282","1"
"282","8"
"282","3"
"282","10"
"282","11"
"282","4"
"283","3"
"283","10"
"283","4"
"283","7"
"289","15"
"289","1"
"289","8"
"289","3"
"289","10"
"289","4"
"289","7"
"291","5"
"291","1"
"291","22"
"291","3"
"291","10"
"291","6"
"291","11"
"291","4"
"291","13"
"291","7"
"293","8"
"293","3"
"293","10"
"293","4"
"293","7"
"295","5"
"295","3"
"295","11"
"295","7"
"300","5"
"300","8"
"300","3"
"300","10"
"300","11"
"300","4"
"300","13"
"300","7"
"305","25"
"305","5"
"305","1"
"305","8"
"305","2"
"305","3"
"305","10"
"305","6"
"305","11"
"305","4"
"305","28"
"305","13"
"305","7"
"307","5"
"307","1"
"307","3"
"307","10"
"307","4"
"307","13"
"307","7"
"310","1"
"310","17"
"310","23"
"310","3"
"310","10"
"310","6"
"310","4"
"310","13"
"310","7"
"311","5"
"311","1"
"311","16"
"311","3"
"311","10"
"311","6"
"311","4"
"311","7"
"311","33"
"312","5"
"312","1"
"312","8"
"312","20"
"312","2"
"312","3"
"312","10"
"312","6"
"312","4"
"312","24"
"315","25"
"315","5"
"315","1"
"315","8"
"315","17"
"315","2"
"315","3"
"315","10"
"315","6"
"315","11"
"315","4"
"315","28"
"315","13"
"315","7"
"319","5"
"319","1"
"319","3"
"319","4"
"319","7"
"320","25"
"320","27"
"320","5"
"320","1"
"320","8"
"320","19"
"320","21"
"320","22"
"320","2"
"320","3"
"320","10"
"320","6"
"320","11"
"320","4"
"320","28"
"320","29"
"320","13"
"320","7"
"325","25"
"325","5"
"325","15"
"325","1"
"325","8"
"325","17"
"325","22"
"325","2"
"325","3"
"325","10"
"325","6"
"325","11"
"325","4"
"325","13"
"325","7"
"328","8"
"328","17"
"328","22"
"328","23"
"328","3"
"328","10"
"328","6"
"328","11"
"328","4"
"328","13"
"328","7"
"331","1"
"331","3"
"331","6"
"331","4"
"331","7"
"332","5"
"332","17"
"332","23"
"332","10"
"332","11"
"332","4"
"333","25"
"333","5"
"333","1"
"333","28"
"338","1"
"338","8"
"338","3"
"338","4"
"338","7"
"347","1"
"347","8"
"347","13"
"348","5"
"348","15"
"348","1"
"348","8"
"348","17"
"348","3"
"348","10"
"348","6"
"348","11"
"348","4"
"348","12"
"348","13"
"348","7"
"351","25"
"351","27"
"351","28"
"351","29"
"355","3"
"355","10"
"355","4"
"358","1"
"358","3"
"358","10"
"358","4"
"360","4"
"361","4"
"361","7"
"366","15"
"366","10"
"366","6"
"366","11"
"367","1"
"367","8"
"367","3"
"367","10"
"367","6"
"367","11"
"367","4"
"367","13"
"367","7"
"374","14"
"374","5"
"374","15"
"374","26"
"374","1"
"374","8"
"374","9"
"374","16"
"374","17"
"374","19"
"374","30"
"374","34"
"374","22"
"374","32"
"374","2"
"374","3"
"374","10"
"374","6"
"374","11"
"374","4"
"374","12"
"374","13"
"374","7"
"375","15"
"375","1"
"375","8"
"375","17"
"375","3"
"375","10"
"375","6"
"375","4"
"376","5"
"376","15"
"376","1"
"376","17"
"376","18"
"376","30"
"376","20"
"376","21"
"376","2"
"376","3"
"376","10"
"376","6"
"376","11"
"376","4"
"376","12"
"376","13"
"376","7"
"384","5"
"384","17"
"384","19"
"384","3"
"384","10"
"384","6"
"384","11"
"384","4"
"384","7"
"385","5"
"385","2"
"385","3"
"385","10"
"385","4"
"385","12"
"385","7"
"390","14"
"390","5"
"390","15"
"390","17"
"390","10"
"390","6"
"390","11"
"395","14"
"395","5"
"395","15"
"395","1"
"395","8"
"395","3"
"395","10"
"395","6"
"395","11"
"395","4"
"395","13"
"395","7"
"396","5"
"396","1"
"396","8"
"396","18"
"396","3"
"396","10"
"396","6"
"396","11"
"396","4"
"396","13"
"396","7"
"397","15"
"397","1"
"397","8"
"397","3"
"397","6"
"397","11"
"397","4"
"397","7"
"405","3"
"405","4"
"405","7"
"406","9"
"406","22"
"406","11"
"406","7"
"407","15"
"407","1"
"407","8"
"407","3"
"407","10"
"407","4"
"407","7"
"408","25"
"408","5"
"408","1"
"408","18"
"408","3"
"408","4"
"408","7"
"409","5"
"409","15"
"409","26"
"409","1"
"409","8"
"409","17"
"409","18"
"409","19"
"409","20"
"409","31"
"409","3"
"409","10"
"409","6"
"409","11"
"409","4"
"409","12"
"409","13"
"409","7"
"411","14"
"411","1"
"411","8"
"411","17"
"411","23"
"411","3"
"411","10"
"411","6"
"411","4"
"411","12"
"411","13"
"411","7"
"413","25"
"413","14"
"413","5"
"413","15"
"413","1"
"413","8"
"413","17"
"413","19"
"413","34"
"413","32"
"413","2"
"413","23"
"413","3"
"413","10"
"413","6"
"413","11"
"413","4"
"413","28"
"413","13"
"413","7"
"413","24"
"414","3"
"414","4"
"414","7"
"419","1"
"419","3"
"419","4"
"419","13"
"419","7"
"420","5"
"420","1"
"420","8"
"420","9"
"420","19"
"420","23"
"420","3"
"420","10"
"420","6"
"420","4"
"420","12"
"420","13"
"420","7"
"424","1"
"424","8"
"424","6"
"424","4"
"424","7"
"428","5"
"428","1"
"428","8"
"428","9"
"428","17"
"428","2"
"428","3"
"428","10"
"428","4"
"428","13"
"428","7"
"430","35"
"430","5"
"430","15"
"430","1"
"430","8"
"430","9"
"430","16"
"430","19"
"430","30"
"430","21"
"430","2"
"430","3"
"430","10"
"430","6"
"430","11"
"430","4"
"430","12"
"430","13"
"430","7"
"431","14"
"431","5"
"431","15"
"431","26"
"431","1"
"431","8"
"431","9"
"431","17"
"431","34"
"431","20"
"431","31"
"431","22"
"431","32"
"431","2"
"431","23"
"431","3"
"431","10"
"431","6"
"431","11"
"431","4"
"431","13"
"431","7"
"431","33"
"432","8"
"432","3"
"432","10"
"432","6"
"432","11"
"432","4"
"432","12"
"432","13"
"432","7"
"439","1"
"439","8"
"439","17"
"439","3"
"439","10"
"439","4"
"439","13"
"439","7"
"442","5"
"442","1"
"442","9"
"442","17"
"442","30"
"442","20"
"442","2"
"442","3"
"442","10"
"442","6"
"442","4"
"442","12"
