accountant_id,subservice_name,service_name,combo
3,Business start-up and company formation,Formation / M&A,3 - Formation / M&A
3,Information Technology,Bookkeeping & Admin,3 - Bookkeeping & Admin
3,Limited company accounts,Annual Accounts,3 - Annual Accounts
3,Partnership / sole trader accounts,Annual Accounts,3 - Annual Accounts
6,Business plans,Business Consulting & Support,6 - Business Consulting & Support
6,Business start-up and company formation,Formation / M&A,6 - Formation / M&A
6,Limited company accounts,Annual Accounts,6 - Annual Accounts
6,Management advice to business,Business Consulting & Support,6 - Business Consulting & Support
6,Partnership / sole trader accounts,Annual Accounts,6 - Annual Accounts
6,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,6 - Tax Services
7,Business plans,Business Consulting & Support,7 - Business Consulting & Support
7,Business start-up and company formation,Formation / M&A,7 - Formation / M&A
7,Company secretarial service,Bookkeeping & Admin,7 - Bookkeeping & Admin
7,Corporate finance,Financing Support,7 - Financing Support
7,Limited company accounts,Annual Accounts,7 - Annual Accounts
7,Management accounting consultancy,Business Consulting & Support,7 - Business Consulting & Support
7,Management advice to business,Business Consulting & Support,7 - Business Consulting & Support
7,Management consultancy,Business Consulting & Support,7 - Business Consulting & Support
7,Partnership / sole trader accounts,Annual Accounts,7 - Annual Accounts
7,Share valuations,Financing Support,7 - Financing Support
7,Tax and NI investigations,Tax Services,7 - Tax Services
7,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,7 - Tax Services
14,Benchmarking,Business Consulting & Support,14 - Business Consulting & Support
14,Business plans,Business Consulting & Support,14 - Business Consulting & Support
14,Business process improvements,Business Consulting & Support,14 - Business Consulting & Support
14,Corporate finance,Financing Support,14 - Financing Support
14,Corporate recovery,Insolvency and Arbitration,14 - Insolvency and Arbitration
14,Cost systems and control,Bookkeeping & Admin,14 - Bookkeeping & Admin
14,Data processing services,Bookkeeping & Admin,14 - Bookkeeping & Admin
14,Debt counselling,Financing Support,14 - Financing Support
14,Estate planning and executorship,Other,14 - Other
14,Expert witness,Other,14 - Other
14,Feasibility studies,Other,14 - Other
14,Information Technology,Bookkeeping & Admin,14 - Bookkeeping & Admin
14,Management accounting consultancy,Business Consulting & Support,14 - Business Consulting & Support
14,Management advice to business,Business Consulting & Support,14 - Business Consulting & Support
14,Management consultancy,Business Consulting & Support,14 - Business Consulting & Support
14,Partnership / sole trader accounts,Annual Accounts,14 - Annual Accounts
14,Share valuations,Financing Support,14 - Financing Support
18,Management accounting consultancy,Business Consulting & Support,18 - Business Consulting & Support
18,Management advice to business,Business Consulting & Support,18 - Business Consulting & Support
18,Management consultancy,Business Consulting & Support,18 - Business Consulting & Support
